date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:08	100856/100856	---M--	200	added ('OK')	image/png	date:Sat,%2023%20Dec%202023%2014:19:06%20GMT	https://web.archive.org/web/20231111072550im_/https://tickermilk.xyz/assets/images/apple-touch-icon.png	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111072550im_/https_/tickermilk.xyz/assets/images/apple-touch-icon.png	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:08	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2023%20Dec%202023%2014:19:07%20GMT	https://web.archive.org/web/20231111071724cs_/http://tickermilk.xyz/assets/main.css	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111071724cs_/http_/tickermilk.xyz/assets/main.css	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:09	16768/16768	---MCZ	200	added ('OK')	text/css	date:Sat,%2023%20Dec%202023%2014:19:08%20GMT	https://web.archive.org/web/20231111085815cs_/https://tickermilk.xyz/assets/main.css	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111085815cs_/https_/tickermilk.xyz/assets/main.css	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:10	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2023%20Dec%202023%2014:19:09%20GMT	https://web.archive.org/web/20231111071724cs_/http://tickermilk.xyz/assets/noscript.css	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111071724cs_/http_/tickermilk.xyz/assets/noscript.css	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:10	855/855	---M--	200	added ('OK')	text/css	date:Sat,%2023%20Dec%202023%2014:19:09%20GMT	https://web.archive.org/web/20231111211930cs_/https://tickermilk.xyz/assets/noscript.css	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111211930cs_/https_/tickermilk.xyz/assets/noscript.css	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:11	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2023%20Dec%202023%2014:19:10%20GMT	https://web.archive.org/web/20231111071724im_/http://tickermilk.xyz/assets/images/image05.jpg	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111071724im_/http_/tickermilk.xyz/assets/images/image05.jpg	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:12	6224/6224	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Dec%202023%2014:19:11%20GMT	https://web.archive.org/web/20231111082913im_/https://tickermilk.xyz/assets/images/image05.jpg	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111082913im_/https_/tickermilk.xyz/assets/images/image05.jpg	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:12	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2023%20Dec%202023%2014:19:12%20GMT	https://web.archive.org/web/20231111071724im_/http://tickermilk.xyz/assets/images/image01.jpg	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111071724im_/http_/tickermilk.xyz/assets/images/image01.jpg	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:13	4886/4886	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Dec%202023%2014:19:12%20GMT	https://web.archive.org/web/20231111143856im_/https://tickermilk.xyz/assets/images/image01.jpg	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111143856im_/https_/tickermilk.xyz/assets/images/image01.jpg	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:13	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2023%20Dec%202023%2014:19:12%20GMT	https://web.archive.org/web/20231111071724im_/http://tickermilk.xyz/assets/images/image04.png	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111071724im_/http_/tickermilk.xyz/assets/images/image04.png	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:14	19065/19065	---M--	200	added ('OK')	image/png	date:Sat,%2023%20Dec%202023%2014:19:13%20GMT	https://web.archive.org/web/20231111072839im_/https://tickermilk.xyz/assets/images/image04.png	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111072839im_/https_/tickermilk.xyz/assets/images/image04.png	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:14	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2023%20Dec%202023%2014:19:13%20GMT	https://web.archive.org/web/20231111071724im_/http://tickermilk.xyz/assets/images/image03.jpg	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111071724im_/http_/tickermilk.xyz/assets/images/image03.jpg	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:14	11894/11894	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Dec%202023%2014:19:13%20GMT	https://web.archive.org/web/20231111074401im_/https://tickermilk.xyz/assets/images/image03.jpg	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111074401im_/https_/tickermilk.xyz/assets/images/image03.jpg	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Sat,%2023%20Dec%202023%2014:19:14%20GMT	https://web.archive.org/web/20231111071724js_/http://tickermilk.xyz/assets/main.js	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111071724js_/http_/tickermilk.xyz/assets/main.js	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:15	39672/39672	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2023%20Dec%202023%2014:19:14%20GMT	https://web.archive.org/web/20231111115554js_/https://tickermilk.xyz/assets/main.js	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111115554js_/https_/tickermilk.xyz/assets/main.js	(from https://web.archive.org/web/20231111071724/http://tickermilk.xyz/)
15:19:15	7260/7260	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Nov%202023%2019:39:36%20GMT	https://web-static.archive.org/_static/css/record.css	C:/My%20Web%20Sites/MILK%20COPY/web-static.archive.org/_static/css/record.css	(from https://web-static.archive.org/_static/css/banner-styles.css?v=S1zqJCYt)
15:19:16	139921/139921	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Sat,%2023%20Dec%202023%2014:19:15%20GMT	https://web.archive.org/web/20231111085815im_/https://tickermilk.xyz/assets/images/bg.jpg	C:/My%20Web%20Sites/MILK%20COPY/web.archive.org/web/20231111085815im_/https_/tickermilk.xyz/assets/images/bg.jpg	(from https://web.archive.org/web/20231111085815cs_/https://tickermilk.xyz/assets/main.css)
